5277|N|Y|CTP_EFT_PAYMENT_DEMAND|PMT_DEMAND_ID|N|CHAR|20|Y||N||2010-09-18 04:39:00|
5278|N|Y|CTP_EFT_PAYMENT_DEMAND|RETURN_INITIATION_DATE|N|TIMESTAMP||N||||2010-09-18 04:39:00|
5279|N|Y|CTP_EFT_PAYMENT_DEMAND|RETURN_SETTLEMENT_DATE|N|TIMESTAMP||N||||2010-09-18 04:39:00|
5280|N|Y|CTP_EFT_PAYMENT_DEMAND|AV_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5281|N|Y|CTP_EFT_PAYMENT_DEMAND|VBAV_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5282|N|Y|CTP_EFT_PAYMENT_DEMAND|SEND_JR_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5283|N|Y|CTP_EFT_PAYMENT_DEMAND|FEEDBACK_JR_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5284|N|Y|CTP_EFT_PAYMENT_DEMAND|STATUS_CODE|Y|VARCHAR|6|Y||N||2010-09-18 04:39:00|
5285|N|Y|CTP_EFT_PAYMENT_DEMAND|STATUS_DATE|N|TIMESTAMP||Y||||2010-09-18 04:39:00|
5286|N|Y|CTP_EFT_PAYMENT_DEMAND|PAY_FAILURE_CODE|Y|VARCHAR|10|N||N||2010-09-18 04:39:00|
5287|N|Y|CT_AR_ENTRY|TRANSACTION_DATE|N|TIMESTAMP||Y||||2010-09-18 04:39:00|
5288|N|Y|CT_AR_SEGMENT|TO_CTRY_CODE|Y|CHAR|2|N||N||2010-09-18 04:39:00|
5289|N|Y|CT_AR_SEGMENT|FROM_CTRY_CODE|Y|CHAR|2|N||N||2010-09-18 04:39:00|
5290|N|Y|CT_AR_SEGMENT|MSG_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5291|N|Y|CT_COUNTRY|CG_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5292|N|Y|CT_EFT_BATCH_SCHED|PMT_METHOD_CODE|Y|CHAR|7|Y||N||2010-10-16 03:56:00|
5293|N|Y|CT_EFT_BATCH_SCHED|CLOSE_TIME|N|CHAR|5|N||N||2010-10-16 03:56:00|
5294|N|Y|CT_EFT_PAYOR_ACCOUNT|IS_CONCUR_PAY|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5295|N|Y|CT_EXTRACT_FILE_DEF|SRC_EXTRACT_FILE_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5296|N|Y|CT_LOCATION|LOC_TYPE_CODE|Y|VARCHAR|20|Y||N||2010-09-18 04:39:00|
5297|N|Y|CT_LOCATION|PARENT_LOC_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5298|N|Y|CT_PROD_OFFERING|ALLOW_PAYPAL_INTEGRATION|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5299|N|Y|CT_TAX_CONFIG|ONLY_CALCULATE_DOMESTIC|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5300|N|Y|CT_AR_ALLOCATION|AR_ALLOC_KEY|N|INTEGER||Y||||2010-10-16 03:56:00|
5301|N|Y|CT_AR_ALLOCATION|AR_KEY|Y|INTEGER||Y||||2010-10-16 03:56:00|
5302|N|Y|CT_AR_ALLOCATION|IS_HIDDEN|N|BOOLEANCHAR|1|Y||N||2010-10-16 03:56:00|
5303|N|Y|CT_AR_ALLOCATION|PERCENTAGE|N|NUMERIC|11|Y||||2010-10-16 03:56:00|
5304|N|Y|CT_AR_ALLOCATION|IS_PCT_EDITED|N|BOOLEANCHAR|1|N||N||2010-10-16 03:56:00|
5305|Y|Y|CT_AR_ALLOCATION|CUSTOM1|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5306|Y|Y|CT_AR_ALLOCATION|CUSTOM2|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5307|Y|Y|CT_AR_ALLOCATION|CUSTOM3|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
