2168|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2169|N|N||EXTRACT_OUTPUT||X|<JOB_DATA_ROOT>\extract|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2170|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2171|Y|N||EFT_FEED||<DEFAULT_JOB_DEF>\payment_engine_xml.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2172|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2173|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2174|Y|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2175|N|N||EXTRACT_OUTPUT||X|<COMMON_BATCH_ROOT>\ttx\extract|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2176|N|N||DATA_DUMP|||<DEFAULT_JOB_DATA>/datadump|<DATADUMP_ARCHIVE_PATH>\<ENTITY_CODE>\|N||N|N||N|||2017-09-30 07:42:00|N|Y
2177|N|Y||REC_INV_GEN|||||N|||||N|||2017-09-30 07:42:00|N|Y
2178|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2179|Y|Y||STAMP_CC_GUID|5474||||N|||||N|||2019-05-14 23:23:00|N|Y
2180|N|Y||DW_ACTN_ARCHIVE|18622||||N|||||N|||2018-12-10 11:10:00|N|Y
2181|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2182|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2183|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2184|Y|N||EXTRACT|||||N|||||N|||2017-09-30 07:42:00|N|Y
2185|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2186|N|N||EXTRACT|78746|X|X|X|N|X||||N|||2024-01-03 11:01:00|N|Y
2187|N|N||EXTRACT_OUTPUT|78747|X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2024-01-03 11:01:00|Y|Y
2188|N|N||EXTRACT_OUTPUT|78748||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2024-01-03 11:01:00|N|Y
2189|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2190|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2191|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2192|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2193|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2194|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2195|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2196|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2197|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2198|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2199|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2200|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2201|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2202|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2203|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2204|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2205|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2206|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2207|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2208|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2209|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2210|N|Y||PRVACCHASH_MIG|||||N|||||N|||2017-09-30 07:42:00|N|Y
2211|Y|Y||EXTRACT|||||N|||||N|||2017-09-30 07:42:00|N|Y
2212|N|Y||CTE_TASK|||||N|||||N|||2017-09-30 07:42:00|N|Y
2213|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2214|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2215|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2216|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2217|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2218|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2219|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2220|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2221|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2222|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2223|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2224|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2225|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2226|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2227|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2228|N|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2229|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2230|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2231|N|N||OID_IMPORT||1|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|Y|||||N|||2017-09-30 07:42:00|N|Y
2232|N|N||LIST|78749|<DEFAULT_JOB_DEF>\concur-extended.xml|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N||||,|N|||2024-01-03 11:01:00|N|Y
