FXLDG|N|Y|LODGING|NEVER|LODGE|LODNG||2014-05-02 15:05:00|N|Y|LODGA||NALW|N||
FXMLG|N|Y|MEALS|NEVER|MEALS|MEALS||2014-05-02 15:05:00|N|Y|MEALA||NREQ|N||
FXMLS|N|Y|MEALS|NEVER|LODGE|MEALS||2014-05-02 15:05:00|N|Y|MEALA||NALW|N||
GASXX|N|N|OTHER|ALWAYS|TRANS|CARRT||2009-09-18 20:16:00|N|Y|GASXX||NREQ|N||
GIFTS|N|N|OTHER|ALWAYS|OTHER|OTHER||2015-04-26 22:31:00|N|Y|GOODW||NREQ|N||
INCTS|N|N|OTHER|ALWAYS|LODGE|||2010-11-05 11:47:00|N|Y|OTHER||NREQ|N||
JTRAN|N|N|JPYPTRAN|ALWAYS||OTHER||2012-09-15 02:11:00|N|Y|JGTRN||NALW|N||
LIMOS|Y|N|OTHER|ALWAYS||INCTS||2015-04-27 14:11:00|N|Y|GRTRN||NREQ|N||
LNDRY|N|N|OTHER|ALWAYS|LODGE|INCTS||2017-09-25 13:26:00|N|Y|OTHER||NALW|N||
LOCPH|N|N|OTHER|ALWAYS|COMMU|OTHER||2016-04-27 08:31:00|N|Y|TELEC||NREQ|N||
LODGE|N|N|OTHER|ALWAYS||LODNG||2017-09-25 13:30:00|N|Y|OTHER||NALW|N||
LODNG|N|N|LODGING|ALWAYS|LODGE|LODNG||2017-08-08 02:46:00|N|Y|LODGA||REQD|N||HTLROOM
LODTX|N|Y|LODGING|NORMAL|LODGE|LODNG||2020-10-26 02:36:00|N|Y|LODGA||NALW|N||HTLTAXX
LONGD|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:11:00|N|Y|TELEC||NREQ|N||
LUNCH|N|N|MEALS|ALWAYS|MEALS|MEALS||2015-08-14 13:05:00|N|Y|MEALA|2|NREQ|N||
MEALS|N|N|OTHER|ALWAYS||MEALS||2017-09-25 13:30:00|N|Y|OTHER||NALW|N||
MILEG|N|N|PCARMILE|ALWAYS|TRANS|OTHER||2010-01-15 21:10:00|N|Y|PRCRM||NALW|N||
MISCL|N|N|OTHER|ALWAYS|OTHER|OTHER||2020-10-23 13:27:00|N|Y|OTHER||NALW|N||
MTNGS|Y|N|OTHER|ALWAYS||OTHER||2010-10-29 17:22:00|N|Y|MEETG||NREQ|N||
MTRLS|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|OTHER||NREQ|N||
OFCSP|N|N|OTHER|ALWAYS|01020|OTHER||2010-11-05 11:14:00|N|Y|OFFIC||NREQ|N||
ONLIN|N|N|OTHER|ALWAYS|COMMU|OTHER||2013-06-15 03:07:00|N|Y|TELEC||NREQ|N||INTRNET
OTHER|N|Y|OTHER|ALWAYS||OTHER||2017-09-25 13:31:00|N|Y|OTHER||NALW|N||
OVRNT|N|Y|MEALS|NEVER|MEALS|MEALS||2010-11-05 11:14:00|N|Y|MEALA||NREQ|N||
PAGER|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|TELEC||NREQ|N||
PARKG|N|N|OTHER|ALWAYS|TRANS|INCTS||2013-06-15 03:07:00|N|Y|GRTRN||NREQ|N||PARKING
PCARX|Y|N|OTHER|ALWAYS||OTHER||2010-10-29 17:22:00|N|Y|PRCAR||NREQ|N||
POSTG|N|N|OTHER|ALWAYS|01020|OTHER||2010-11-05 11:12:00|N|Y|SHIPG||NREQ|N||
PROMO|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|ADVTG||NREQ|N||
PVMLS|N|Y|MEALS|NEVER|MEALS|MEALS||2010-11-05 11:11:00|N|Y|MEALA||NREQ|N||
SEMNR|N|N|OTHER|ALWAYS|OTHER|OTHER||2009-11-13 21:05:00|N|Y|TRAIN||NREQ|N||
SUBSC|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|SUBSC||NREQ|N||
SUBWY|Y|N|OTHER|ALWAYS||INCTS||2015-04-27 14:10:00|N|Y|GRTRN||NREQ|N||
TAGFE|Y|N|OTHER|ALWAYS||OTHER||2010-10-29 17:21:00|N|Y|FEESD||NREQ|N||
TAXIX|N|N|OTHER|ALWAYS|TRANS|INCTS||2009-09-18 20:16:00|N|Y|GRTRN||NREQ|N||
TOLLS|N|N|OTHER|ALWAYS|TRANS|INCTS||2011-10-27 12:05:00|N|Y|GRTRN||NREQ|N||
TRAIN|Y|N|OTHER|ALWAYS||INCTS||2017-08-07 07:46:00|N|Y|GRTRN||NREQ|N||
TRANS|N|N|OTHER|ALWAYS||OTHER||2017-09-25 13:30:00|N|Y|OTHER||NALW|N||
TRDSH|N|N|OTHER|ALWAYS|OTHER|OTHER||2011-11-07 14:59:00|N|Y|TRADE||NREQ|N||
TXMLS|N|Y|MEALS|NEVER|MEALS|MEALS||2010-11-05 11:06:00|N|Y|MEALA||NREQ|N||
UNDEF|N|Y|OTHER|NEVER||OTHER||2009-11-14 01:47:00|N|Y|OTHER||NREQ|N||
